method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
Gibbs,100,117,3,10,10.073649466751045,9.692036578558223,10.458822532847798,1,23.454
Gibbs,100,117,4,20,20.41535938044808,20.01500092549847,20.814155845843356,0,23.454
VB,100,117,1,0,0.0790842208777626,-0.3090281932016937,0.46719663495721897,1,0.06500000000000128
VB,100,117,2,5,5.130569188691671,4.71647102888819,5.544667348495151,1,0.06500000000000128
VB,100,117,3,10,10.076230881192451,9.70664114312702,10.445820619257884,1,0.06500000000000128
VB,100,117,4,20,20.417810282163284,20.01781028216329,20.817810282163283,0,0.06500000000000128
Gibbs,100,118,1,0,-0.3035596068941307,-0.6625879789810659,0.0569689085863504,1,23.513
Gibbs,100,118,2,5,4.950556440016292,4.493196906721887,5.410926538094894,1,23.513
Gibbs,100,118,3,10,9.725558093409182,9.344121412309578,10.108489431118231,1,23.513
Gibbs,100,118,4,20,19.847016362967697,19.447392755150613,20.248809508435535,1,23.513
VB,100,118,1,0,-0.3021555281741538,-0.6609203828708972,0.05660932652258954,1,0.06199999999999761
VB,100,118,2,5,4.950464304002091,4.514128625712265,5.386799982291918,1,0.06199999999999761
VB,100,118,3,10,9.72433077402745,9.339986882992587,10.108674665062312,1,0.06199999999999761
VB,100,118,4,20,19.84709882265924,19.447098822658972,20.24709882265951,1,0.06199999999999761
Gibbs,100,119,1,0,-0.24159752733948733,-0.6191596242457613,0.1449321954120511,1,23.535
Gibbs,100,119,2,5,4.929162586514413,4.539295907062995,5.323264440568916,1,23.535
Gibbs,100,119,3,10,10.207339498255998,9.78008345791437,10.631111561046891,1,23.535
Gibbs,100,119,4,20,20.428601900254044,20.02856802529544,20.82213497351572,0,23.535
VB,100,119,1,0,-0.23674782777622735,-0.6072166151959528,0.13372095964349812,1,0.06099999999999994
VB,100,119,2,5,4.9291314497897805,4.55228608738411,5.305976812195451,1,0.06099999999999994
VB,100,119,3,10,10.207055371642658,9.779230737438873,10.634880005846446,1,0.06099999999999994
VB,100,119,4,20,20.42649714079572,20.02649714170064,20.826497139890797,0,0.06099999999999994
Gibbs,100,12,1,0,0.02024327213060092,-0.480223799350585,0.5150273333448323,1,16.289
Gibbs,100,12,2,5,4.846848876937992,4.43610425924965,5.25309836234405,1,16.289
Gibbs,100,12,3,10,10.166135129606015,9.758777009808249,10.570916382978128,1,16.289
Gibbs,100,12,4,20,19.882501129141787,19.53810141987564,20.21961587561829,1,16.289
VB,100,12,1,0,0.02213886459685891,-0.44359476767914285,0.4878724968728607,1,0.0450000000000017
VB,100,12,2,5,4.8411455885665164,4.452986380686621,5.229304796446412,1,0.0450000000000017
VB,100,12,3,10,10.160356306966632,9.76695375271478,10.553758861218483,1,0.0450000000000017
VB,100,12,4,20,19.87964201396772,19.53321381636051,20.226070211574932,1,0.0450000000000017
Gibbs,100,120,1,0,0.04249507623383201,-0.3879122312857044,0.48190065263056553,1,23.401999999999997
Gibbs,100,120,2,5,4.790736604783206,4.367904407300327,5.217694288778234,1,23.401999999999997
Gibbs,100,120,3,10,10.10164611882444,9.69029831027584,10.507052958119436,1,23.401999999999997
Gibbs,100,120,4,20,20.34910470518346,19.99226005352539,20.698819104121895,1,23.401999999999997
VB,100,120,1,0,0.04889334998097703,-0.3796987374214643,0.4774854373834184,1,0.06400000000000006
VB,100,120,2,5,4.795917750292799,4.38616485026127,5.205670650324327,1,0.06400000000000006
VB,100,120,3,10,10.109715102918935,9.711584494933415,10.507845710904457,1,0.06400000000000006
VB,100,120,4,20,20.34957406025601,20.00314586265228,20.696002257859742,0,0.06400000000000006
Gibbs,100,121,1,0,0.04317572477742831,-0.3570224211945662,0.4403610656449914,1,23.363
Gibbs,100,121,2,5,5.231849035031067,4.810673969599945,5.661249813170239,1,23.363
Gibbs,100,121,3,10,9.878248224654676,9.480669779148275,10.278447459947593,1,23.363
Gibbs,100,121,4,20,19.934188393102012,19.52277959863605,20.34957357870651,1,23.363
VB,100,121,1,0,0.05063576978231514,-0.3333326778421674,0.4346042174067977,1,0.06099999999999994
VB,100,121,2,5,5.236024549804631,4.847569239696161,5.624479859913101,1,0.06099999999999994
VB,100,121,3,10,9.876400236025614,9.49576291779404,10.257037554257188,1,0.06099999999999994
VB,100,121,4,20,19.930684336360635,19.512905871167536,20.348462801553733,1,0.06099999999999994
Gibbs,100,122,1,0,0.1622720865815243,-0.2795906170542399,0.6108078502116295,1,23.125
Gibbs,100,122,2,5,4.915574462793365,4.503909656468372,5.323034638858937,1,23.125
Gibbs,100,122,3,10,10.163473534704345,9.74930382019117,10.581965305260052,1,23.125
Gibbs,100,122,4,20,19.966378530973223,19.58997149290413,20.351410733185844,1,23.125
VB,100,122,1,0,0.1542592044513432,-0.27196045097828236,0.5804788598809688,1,0.07000000000000028
VB,100,122,2,5,4.910121557020351,4.534684574930058,5.285558539110644,1,0.07000000000000028
VB,100,122,3,10,10.16433817249215,9.777176006871688,10.55150033811261,1,0.07000000000000028
VB,100,122,4,20,19.965551713868244,19.58123798837805,20.34986543935844,1,0.07000000000000028
Gibbs,100,123,1,0,0.1164745226185517,-0.2944475192466662,0.5359186426961952,1,23.125
Gibbs,100,123,2,5,4.661613686497353,4.243325221167011,5.084587714322569,1,23.125
Gibbs,100,123,3,10,10.076988628358212,9.679014433926726,10.481411913120205,1,23.125
Gibbs,100,123,4,20,19.855097121087272,19.484420878690784,20.22380865220615,1,23.125
VB,100,123,1,0,0.1191220407276573,-0.28990973398710335,0.5281538154424179,1,0.06400000000000006
VB,100,123,2,5,4.658658371175458,4.251717193998401,5.065599548352516,1,0.06400000000000006
VB,100,123,3,10,10.07412394507483,9.68110633229327,10.467141557856388,1,0.06400000000000006
VB,100,123,4,20,19.85373142760228,19.48983130076863,20.217631554435933,1,0.06400000000000006
Gibbs,100,124,1,0,0.02040653994978451,-0.47336356748122904,0.509435644925675,1,23.294
Gibbs,100,124,2,5,4.797553718568035,4.357162897176045,5.248139514033049,1,23.294
Gibbs,100,124,3,10,10.026113337524722,9.616683278542816,10.44222390376299,1,23.294
Gibbs,100,124,4,20,19.860566383286724,19.43130283809841,20.284229388962075,1,23.294
